Saison,Joueur,Équipe,Url
2023-24,nikola jokic,Denver Nuggets,https://logospng.org/download/nba/logo-nba-1536.png
2022-23,joel embiid,Philadelphie Sixers,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg
2021-22,nikola jokic,Denver Nuggets,https://logospng.org/download/nba/logo-nba-1536.png
2020-21,nikola jokic,Denver Nuggets,https://logospng.org/download/nba/logo-nba-1536.png
2019-20,giannis antetokounmpo,Milwaukee Bucks,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg
2018-19,giannis antetokounmpo,Milwaukee Bucks,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg
2017-18,james harden,Houston Rockets,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg
2016-17,russell westbrook,OKC Thunder,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg
2015-16,stephen curry,Golden State Warriors,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg
2014-15,stephen curry,Golden State Warriors,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg
2013-14,kevin durant,OKC Thunder,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg
2012-13,lebron james,Miami Heat,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg
2011-12,lebron james,Miami Heat,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg
2010-11,derrick rose,Chicago Bulls,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg
2009-10,lebron james,Cleveland Cavaliers,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg
2008-09,lebron james,Cleveland Cavaliers,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg
2007-08,kobe bryant,Los Angeles Lakers,https://www.basketball-reference.com/req/202106291/images/headshots/bryanko01.jpg
2006-07,dirk nowitzki,Dallas Mavericks,https://www.basketball-reference.com/req/202106291/images/headshots/nowitdi01.jpg
2005-06,steve nash,Phoenix Suns,https://www.basketball-reference.com/req/202106291/images/headshots/nashst01.jpg
2004-05,steve nash,Phoenix Suns,https://www.basketball-reference.com/req/202106291/images/headshots/nashst01.jpg
2003-04,kevin garnett,Minnesota Timberwolves,https://www.basketball-reference.com/req/202106291/images/headshots/garneke01.jpg
2002-03,tim duncan,San Antonio Spurs,https://www.basketball-reference.com/req/202106291/images/headshots/duncati01.jpg
2001-02,tim duncan,San Antonio Spurs,https://www.basketball-reference.com/req/202106291/images/headshots/duncati01.jpg
2000-01,allen iverson,Philadelphia 76ers,https://www.basketball-reference.com/req/202106291/images/headshots/iversal01.jpg
1999-00,shaquille o’neal,Los Angeles Lakers,https://logospng.org/download/nba/logo-nba-1536.png
1998-99,karl malone,Utah Jazz,https://www.basketball-reference.com/req/202106291/images/headshots/malonka01.jpg
1997-98,michael jordan,Chicago Bulls,https://www.basketball-reference.com/req/202106291/images/headshots/jordami01.jpg
1996-97,karl malone,Utah Jazz,https://www.basketball-reference.com/req/202106291/images/headshots/malonka01.jpg
1995-96,michael jordan,Chicago Bulls,https://www.basketball-reference.com/req/202106291/images/headshots/jordami01.jpg
1994-95,david robinson,San Antonio Spurs,https://www.basketball-reference.com/req/202106291/images/headshots/robinda01.jpg
1993-94,hakeem olajuwon,Houston Rockets,https://www.basketball-reference.com/req/202106291/images/headshots/olajuha01.jpg
1992-93,charles barkley,Phoenix Suns,https://www.basketball-reference.com/req/202106291/images/headshots/barklch01.jpg
1991-92,michael jordan,Chicago Bulls,https://www.basketball-reference.com/req/202106291/images/headshots/jordami01.jpg
1990-91,michael jordan,Chicago Bulls,https://www.basketball-reference.com/req/202106291/images/headshots/jordami01.jpg
1989-90,magic johnson,Los Angeles Lakers,https://www.basketball-reference.com/req/202106291/images/headshots/johnsma02.jpg
1988-89,magic johnson,Los Angeles Lakers,https://www.basketball-reference.com/req/202106291/images/headshots/johnsma02.jpg
1987-88,michael jordan,Chicago Bulls,https://www.basketball-reference.com/req/202106291/images/headshots/jordami01.jpg
1986-87,magic johnson,Los Angeles Lakers,https://www.basketball-reference.com/req/202106291/images/headshots/johnsma02.jpg
1985-86,larry bird,Boston Celtics,https://www.basketball-reference.com/req/202106291/images/headshots/birdla01.jpg
1984-85,larry bird,Boston Celtics,https://www.basketball-reference.com/req/202106291/images/headshots/birdla01.jpg
1983-84,larry bird,Boston Celtics,https://www.basketball-reference.com/req/202106291/images/headshots/birdla01.jpg
1982-83,moses malone,Philadelphia 76ers,https://www.basketball-reference.com/req/202106291/images/headshots/malonmo01.jpg
1981-82,moses malone,Houston Rockets,https://www.basketball-reference.com/req/202106291/images/headshots/malonmo01.jpg
1980-81,julius erving,Philadelphia 76ers,https://www.basketball-reference.com/req/202106291/images/headshots/ervinju01.jpg
1979-80,kareem abdul-jabbar,Los Angeles Lakers,https://www.basketball-reference.com/req/202106291/images/headshots/abdulka01.jpg
1978-79,moses malone,Houston Rockets,https://www.basketball-reference.com/req/202106291/images/headshots/malonmo01.jpg
1977-78,bill walton,Portland Trail Blazers,https://www.basketball-reference.com/req/202106291/images/headshots/waltobi01.jpg
1976-77,kareem abdul-jabbar,Los Angeles Lakers,https://www.basketball-reference.com/req/202106291/images/headshots/abdulka01.jpg
1975-76,kareem abdul-jabbar,Los Angeles Lakers,https://www.basketball-reference.com/req/202106291/images/headshots/abdulka01.jpg
1974-75,bob mcadoo,Buffalo Braves,https://www.basketball-reference.com/req/202106291/images/headshots/mcadobo01.jpg
1973-74,kareem abdul-jabbar,Milwaukee Bucks,https://www.basketball-reference.com/req/202106291/images/headshots/abdulka01.jpg
1972-73,dave cowens,Boston Celtics,https://www.basketball-reference.com/req/202106291/images/headshots/cowenda01.jpg
1971-72,kareem abdul-jabbar,Milwaukee Bucks,https://www.basketball-reference.com/req/202106291/images/headshots/abdulka01.jpg
1970-71,kareem abdul-jabbar,Milwaukee Bucks,https://www.basketball-reference.com/req/202106291/images/headshots/abdulka01.jpg
1969-70,willis reed,New York Knicks,https://www.basketball-reference.com/req/202106291/images/headshots/reedwi01.jpg
1968-69,wes unseld,Baltimore Bullets,https://www.basketball-reference.com/req/202106291/images/headshots/unselwe01.jpg
1967-68,wilt chamberlain,Philadelphia Warriors,https://www.basketball-reference.com/req/202106291/images/headshots/chambwi01.jpg
1966-67,wilt chamberlain,Philadelphia Warriors,https://www.basketball-reference.com/req/202106291/images/headshots/chambwi01.jpg
1965-66,wilt chamberlain,Philadelphia Warriors,https://www.basketball-reference.com/req/202106291/images/headshots/chambwi01.jpg
1964-65,bill russell,Boston Celtics,https://www.basketball-reference.com/req/202106291/images/headshots/russebi01.jpg
1963-64,oscar robertson,Cincinnati Royals,https://www.basketball-reference.com/req/202106291/images/headshots/roberos01.jpg
1962-63,bill russell,Boston Celtics,https://www.basketball-reference.com/req/202106291/images/headshots/russebi01.jpg
1961-62,bill russell,Boston Celtics,https://www.basketball-reference.com/req/202106291/images/headshots/russebi01.jpg
1960-61,bill russell,Boston Celtics,https://www.basketball-reference.com/req/202106291/images/headshots/russebi01.jpg
1959-60,wilt chamberlain,Philadelphia Warriors,https://www.basketball-reference.com/req/202106291/images/headshots/chambwi01.jpg
1958-59,bob pettit,St. Louis Hawks,https://www.basketball-reference.com/req/202106291/images/headshots/pettibo01.jpg
1957-58,bill russell,Boston Celtics,https://www.basketball-reference.com/req/202106291/images/headshots/russebi01.jpg
1956-57,bob cousy,Boston Celtics,https://www.basketball-reference.com/req/202106291/images/headshots/cousybo01.jpg
1955-56,bob pettit,St. Louis Hawks,https://www.basketball-reference.com/req/202106291/images/headshots/pettibo01.jpg
